TOC (%),Moisture (%),Temp (C),Pres. (MPa),CO2 Excess Sorption (cm3/gr)
3.98,0.25,45,10.904,0.748555316
3.98,0.25,45,11.877,0.753841498
3.98,0.25,45,12.781,0.755511964
3.98,0.25,45,13.622,0.755002171
3.98,0.25,45,14.403,0.756849017
3.98,0.25,45,15.142,0.759187035
3.98,0.25,45,16.256,0.755686346
3.98,0.25,45,17.055,0.741454056
3.98,0.25,45,18.012,0.746136729
3.98,0.25,45,18.793,0.741752721
3.98,0.25,45,20.537,0.721253052
3.98,0.25,45,22.02,0.714018727
3.98,0.25,45,23.226,0.703514899
3.98,0.25,45,24.185,0.696058961
3.98,0.25,45,24.934,0.693778176
3.98,0.25,45,25.519,0.695542094
3.98,0.25,45,25.946,0.696394459
3.98,0.25,45,26.288,0.698840788
3.98,0.3,45,1.446,0.299380095
3.98,0.3,45,2.766,0.376216226
3.98,0.3,45,4.535,0.461796885
3.98,0.3,45,6.154,0.511658678
3.98,0.3,45,7.638,0.541581564
3.98,0.3,45,9,0.559088285
3.98,0.3,45,10.647,0.576283025
3.98,0.3,45,12.142,0.588669725
3.98,0.3,45,13.506,0.593968736
3.98,0.3,45,14.753,0.598104618
3.98,0.3,45,15.892,0.600587047
3.98,0.3,45,16.931,0.599393516
3.98,0.3,45,17.867,0.600020796
3.98,0.3,45,18.707,0.596310734
3.98,0.3,45,19.46,0.594657663
3.98,0.3,45,20.697,0.587623211
3.98,0.3,45,22.624,0.578412329
3.98,0.3,45,24.184,0.568322629
3.98,0.3,45,25.434,0.56017658
3.98,0.76,45,1.935,0.326838683
3.98,0.76,45,3.693,0.405464877
3.98,0.76,45,5.289,0.456874468
3.98,0.76,45,6.743,0.488350962
3.98,0.76,45,8.071,0.504485341
3.98,0.76,45,9.29,0.513150809
3.98,0.76,45,10.416,0.519157044
3.98,0.76,45,11.784,0.521469786
3.98,0.76,45,13.029,0.523167359
3.98,0.76,45,14.165,0.522517216
3.98,0.76,45,15.198,0.524508513
3.98,0.76,45,16.495,0.517665063
3.98,0.76,45,18.474,0.501448837
3.98,0.76,45,20.274,0.485631664
3.98,0.76,45,21.885,0.476031891
3.98,0.76,45,23.298,0.470906718
3.98,0.76,45,24.507,0.468790274
3.98,0.76,45,25.527,0.467578469
3.98,0.76,45,26.371,0.464043981
3.98,0.76,45,27.052,0.4619614
5.79,0.36,45,1.771,1.439263829
5.79,0.36,45,3.491,1.471899891
5.79,0.36,45,5.036,1.547674826
5.79,0.36,45,6.419,1.60374535
5.79,0.36,45,7.662,1.635363485
5.79,0.36,45,8.914,1.674692718
5.79,0.36,45,9.921,1.677680351
5.79,0.36,45,10.841,1.702803428
5.79,0.36,45,11.68,1.708666264
5.79,0.36,45,12.556,1.695499345
5.79,0.36,45,13.439,1.724224555
5.79,0.36,45,14.901,1.739735592
5.79,0.36,45,16.188,1.734010629
5.79,0.36,45,17.344,1.748475439
5.79,0.36,45,18.821,1.7042509
5.79,0.36,45,20.336,1.724915636
5.79,0.36,45,21.489,1.67608553
5.79,0.36,45,22.358,1.710347466
5.79,0.36,45,23.004,1.719845322
5.79,0.36,45,23.476,1.704755731
5.79,0.36,45,23.807,1.731894307
5.79,0.36,45,24.031,1.735302674
5.79,0.41,45,1.618,1.314026795
5.79,0.41,45,3.461,1.365753722
5.79,0.41,45,5.102,1.463437029
5.79,0.41,45,6.555,1.500857127
5.79,0.41,45,7.85,1.554062498
5.79,0.41,45,9.008,1.57395413
5.79,0.41,45,10.046,1.577135063
5.79,0.41,45,10.98,1.581999298
5.79,0.41,45,11.816,1.607953531
5.79,0.41,45,12.642,1.614510545
5.79,0.41,45,14.223,1.629180009
5.79,0.41,45,16.045,1.627929872
5.79,0.41,45,17.623,1.646547165
5.79,0.41,45,18.964,1.642170757
5.79,0.41,45,20.497,1.662409063
5.79,0.41,45,21.751,1.657954953
5.79,0.41,45,22.768,1.672346003
5.79,0.41,45,23.564,1.6839067
5.79,0.41,45,24.152,1.692609928
5.79,0.41,45,24.579,1.699015859
5.79,0.41,45,24.866,1.703361645
5.79,0.41,45,25.052,1.706195221
5.79,0.41,45,25.15,1.707693587
5.79,0.41,45,25.194,1.708367533
5.79,1.34,45,1.637,0.888791433
5.79,1.34,45,3.159,0.992725512
5.79,1.34,45,4.645,1.102416915
5.79,1.34,45,6.463,1.177069691
5.79,1.34,45,7.948,1.210786143
5.79,1.34,45,9.264,1.251511517
5.79,1.34,45,10.437,1.255079321
5.79,1.34,45,11.485,1.260076581
5.79,1.34,45,12.425,1.265667653
5.79,1.34,45,13.267,1.271397786
5.79,1.34,45,14.023,1.277035424
5.79,1.34,45,14.702,1.282447205
5.79,1.34,45,15.308,1.287527508
5.79,1.34,45,14.046,1.277213573
5.79,1.34,45,15.501,1.289191675
5.79,1.34,45,17.49,1.28641181
5.79,1.34,45,19.119,1.302520461
5.79,1.34,45,20.444,1.294824034
